iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:e2967234319cf56d5cf2f188cc3c490f5582c24b 20220118014012 in burger_war_dev
3, 2, 190, 2022-01-19T08:17:16+09:00, 10, 0, WIN, r
3, 3, 190, 2022-01-19T08:21:30+09:00, 10, 0, WIN, r
3, 4, 190, 2022-01-19T08:25:43+09:00, 6, 3, WIN, r
3, 5, 190, 2022-01-19T08:29:57+09:00, 14, 4, WIN, r
3, 6, 190, 2022-01-19T08:34:10+09:00, 15, 8, WIN, r
3, 7, 190, 2022-01-19T08:38:24+09:00, 11, 0, WIN, r
3, 8, 190, 2022-01-19T08:42:38+09:00, 4, 4, LOSE, r
3, 9, 190, 2022-01-19T08:46:52+09:00, 14, 6, WIN, r
3, 10, 190, 2022-01-19T08:51:05+09:00, 13, 2, WIN, r
3, 11, 190, 2022-01-19T08:55:19+09:00, 10, 0, WIN, r
3, 12, 190, 2022-01-19T08:59:32+09:00, 8, 4, WIN, r
4, 1, 190, 2022-01-19T11:42:08+09:00, 7, 1, WIN, r
4, 2, 190, 2022-01-19T11:46:21+09:00, 11, 0, WIN, r
4, 3, 190, 2022-01-19T11:50:35+09:00, 10, 0, WIN, r
4, 4, 190, 2022-01-19T11:54:49+09:00, 10, 5, WIN, r
4, 5, 190, 2022-01-19T11:59:03+09:00, 15, 4, WIN, r
4, 6, 190, 2022-01-19T12:03:16+09:00, 15, 4, WIN, r
4, 7, 190, 2022-01-19T12:07:30+09:00, 16, 5, WIN, r
4, 8, 190, 2022-01-19T12:11:44+09:00, 4, 1, WIN, r
4, 9, 190, 2022-01-19T12:15:58+09:00, 4, 3, WIN, r
4, 10, 190, 2022-01-19T12:20:12+09:00, 13, 2, WIN, r
4, 11, 190, 2022-01-19T12:24:26+09:00, 16, 2, WIN, r
4, 12, 190, 2022-01-19T12:28:40+09:00, 8, 4, WIN, r
5, 1, 190, 2022-01-19T15:11:39+09:00, 6, 1, WIN, r
5, 2, 190, 2022-01-19T15:15:53+09:00, 14, 0, WIN, r
5, 3, 190, 2022-01-19T15:20:06+09:00, 10, 0, WIN, r
5, 4, 190, 2022-01-19T15:24:20+09:00, 8, 3, WIN, r
5, 5, 190, 2022-01-19T15:28:34+09:00, 13, 2, WIN, r
5, 6, 190, 2022-01-19T15:32:47+09:00, 13, 3, WIN, r
5, 7, 190, 2022-01-19T15:37:02+09:00, 13, 2, WIN, r
5, 8, 190, 2022-01-19T15:41:16+09:00, 6, 1, WIN, r
5, 9, 190, 2022-01-19T15:45:30+09:00, 17, 5, WIN, r
5, 10, 190, 2022-01-19T15:49:44+09:00, 13, 2, WIN, r
5, 11, 190, 2022-01-19T15:53:57+09:00, 14, 2, WIN, r
5, 12, 190, 2022-01-19T15:58:11+09:00, 7, 5, WIN, r
#--> latest commit:2019fee5ed543432d5233e154e59095e770c0e58 20220119063639 in burger_war_dev
6, 1, 190, 2022-01-19T18:41:51+09:00, 8, 1, WIN, r
6, 2, 190, 2022-01-19T18:46:05+09:00, 10, 0, WIN, r
6, 3, 190, 2022-01-19T18:50:19+09:00, 10, 0, WIN, r
6, 4, 190, 2022-01-19T18:54:33+09:00, 8, 2, WIN, r
6, 5, 190, 2022-01-19T18:58:46+09:00, 8, 7, WIN, r
6, 6, 190, 2022-01-19T19:03:00+09:00, 15, 4, WIN, r
6, 7, 190, 2022-01-19T19:07:14+09:00, 14, 3, WIN, r
6, 8, 190, 2022-01-19T19:11:28+09:00, 5, 3, WIN, r
6, 9, 190, 2022-01-19T19:15:41+09:00, 4, 1, WIN, r
6, 10, 190, 2022-01-19T19:19:55+09:00, 10, 0, WIN, r
6, 11, 190, 2022-01-19T19:24:09+09:00, 12, 1, WIN, r
6, 12, 190, 2022-01-19T19:28:23+09:00, 4, 8, LOSE, r
#--> latest commit:34f967c26995cabd12d9c728bf24dd44ceb00f2b 20220119100742 in burger_war_dev
7, 1, 190, 2022-01-19T22:12:57+09:00, 7, 1, WIN, r
7, 2, 190, 2022-01-19T22:17:10+09:00, 11, 0, WIN, r
7, 3, 190, 2022-01-19T22:21:24+09:00, 10, 0, WIN, r
7, 4, 190, 2022-01-19T22:25:38+09:00, 13, 9, WIN, r
7, 5, 190, 2022-01-19T22:29:52+09:00, 9, 11, LOSE, r
7, 6, 190, 2022-01-19T22:34:05+09:00, 15, 4, WIN, r
7, 7, 190, 2022-01-19T22:38:19+09:00, 15, 4, WIN, r
7, 8, 190, 2022-01-19T22:42:33+09:00, 7, 3, WIN, r
7, 9, 190, 2022-01-19T22:46:47+09:00, 12, 2, WIN, r
7, 10, 190, 2022-01-19T22:51:01+09:00, 11, 1, WIN, r
7, 11, 190, 2022-01-19T22:55:14+09:00, 11, 0, WIN, r
7, 12, 190, 2022-01-19T22:59:28+09:00, 4, 8, LOSE, r
#--> latest commit:fa76486f28211dace8325386d9b03c16bcf5f780 20220120013840 in burger_war_dev
8, 1, 190, 2022-01-20T01:43:51+09:00, 9, 1, WIN, r
8, 2, 190, 2022-01-20T01:48:04+09:00, 13, 0, WIN, r
8, 3, 190, 2022-01-20T01:52:04+09:00, 10, 0, WIN, r
8, 4, 190, 2022-01-20T01:56:18+09:00, 10, 3, WIN, r
8, 5, 190, 2022-01-20T02:00:32+09:00, 15, 5, WIN, r
8, 6, 190, 2022-01-20T02:04:45+09:00, 15, 5, WIN, r
8, 7, 190, 2022-01-20T02:08:59+09:00, 16, 4, WIN, r
8, 8, 190, 2022-01-20T02:13:13+09:00, 4, 1, WIN, r
8, 9, 190, 2022-01-20T02:17:27+09:00, 16, 7, WIN, r
8, 10, 190, 2022-01-20T02:21:41+09:00, 11, 1, WIN, r
8, 11, 190, 2022-01-20T02:25:55+09:00, 12, 2, WIN, r
8, 12, 190, 2022-01-20T02:30:08+09:00, 5, 7, LOSE, r
9, 1, 190, 2022-01-20T05:12:48+09:00, 9, 1, WIN, r
9, 2, 190, 2022-01-20T05:17:02+09:00, 13, 0, WIN, r
9, 3, 190, 2022-01-20T05:21:15+09:00, 11, 1, WIN, r
9, 4, 190, 2022-01-20T05:25:29+09:00, 19, 9, WIN, r
9, 5, 190, 2022-01-20T05:29:43+09:00, 15, 5, WIN, r
9, 6, 190, 2022-01-20T05:33:57+09:00, 14, 4, WIN, r
9, 7, 190, 2022-01-20T05:38:10+09:00, 13, 3, WIN, r
9, 8, 190, 2022-01-20T05:42:24+09:00, 5, 1, WIN, r
9, 9, 190, 2022-01-20T05:46:38+09:00, 10, 3, WIN, r
9, 10, 190, 2022-01-20T05:50:51+09:00, 13, 2, WIN, r
9, 11, 190, 2022-01-20T05:55:05+09:00, 12, 0, WIN, r
9, 12, 190, 2022-01-20T05:59:19+09:00, 3, 9, LOSE, r
10, 1, 190, 2022-01-20T08:41:33+09:00, 9, 1, WIN, r
10, 2, 190, 2022-01-20T08:45:46+09:00, 10, 0, WIN, r
10, 3, 190, 2022-01-20T08:50:00+09:00, 12, 1, WIN, r
10, 4, 190, 2022-01-20T08:54:14+09:00, 8, 7, WIN, r
10, 5, 190, 2022-01-20T08:58:27+09:00, 13, 2, WIN, r
10, 6, 190, 2022-01-20T09:02:41+09:00, 15, 4, WIN, r
10, 7, 190, 2022-01-20T09:06:41+09:00, 16, 2, WIN, r
10, 8, 190, 2022-01-20T09:10:55+09:00, 6, 7, LOSE, r
10, 9, 190, 2022-01-20T09:15:08+09:00, 5, 1, WIN, r
10, 10, 190, 2022-01-20T09:19:22+09:00, 12, 0, WIN, r
10, 11, 190, 2022-01-20T09:23:36+09:00, 10, 0, WIN, r
10, 12, 190, 2022-01-20T09:27:49+09:00, 5, 7, LOSE, r
