iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
#--> latest commit:6afe10aad02a27156a9ee0f891da77adfc5b887c
0, 1, 225, 2020-08-23T06:49:16+00:00, 14, 2, WIN
0, 2, 225, 2020-08-23T06:54:03+00:00, 11, 1, WIN
0, 3, 225, 2020-08-23T06:58:49+00:00, 10, 0, WIN
1, 1, 225, 2020-08-23T07:03:42+00:00, 13, 2, WIN
1, 2, 225, 2020-08-23T07:08:29+00:00, 10, 0, WIN
1, 3, 225, 2020-08-23T07:13:15+00:00, 10, 0, WIN
2, 1, 225, 2020-08-23T07:18:08+00:00, 13, 2, WIN
2, 2, 225, 2020-08-23T07:22:55+00:00, 11, 1, WIN
2, 3, 225, 2020-08-23T07:27:41+00:00, 10, 0, WIN
3, 1, 225, 2020-08-23T07:32:34+00:00, 14, 2, WIN
3, 2, 225, 2020-08-23T07:37:21+00:00, 10, 0, WIN
3, 3, 225, 2020-08-23T07:42:08+00:00, 10, 0, WIN
#--> latest commit:ac424a98145596bc5638bad72c26a012d954e4a4
4, 1, 225, 2020-08-23T07:47:01+00:00, 10, 13, LOSE
4, 2, 225, 2020-08-23T07:51:48+00:00, 11, 1, WIN
4, 3, 225, 2020-08-23T07:56:35+00:00, 10, 0, WIN
5, 1, 225, 2020-08-23T08:01:28+00:00, 10, 13, LOSE
5, 2, 225, 2020-08-23T08:06:14+00:00, 10, 0, WIN
5, 3, 225, 2020-08-23T08:11:01+00:00, 15, 1, WIN
#--> latest commit:a5911132da454a40990c1b0e237d4b32c5e5de6d
6, 1, 225, 2020-08-23T08:15:55+00:00, 13, 2, WIN
6, 2, 225, 2020-08-23T08:20:41+00:00, 10, 0, WIN
6, 3, 225, 2020-08-23T08:25:28+00:00, 10, 0, WIN
7, 1, 225, 2020-08-23T08:30:21+00:00, 14, 2, WIN
7, 2, 225, 2020-08-23T08:35:08+00:00, 11, 0, WIN
7, 3, 225, 2020-08-23T08:39:55+00:00, 11, 1, WIN
8, 1, 225, 2020-08-23T08:44:48+00:00, 11, 10, WIN
8, 2, 225, 2020-08-23T08:49:35+00:00, 10, 0, WIN
8, 3, 225, 2020-08-23T08:54:22+00:00, 10, 0, WIN
9, 1, 225, 2020-08-23T08:59:15+00:00, 9, 5, WIN
9, 2, 225, 2020-08-23T09:04:01+00:00, 10, 0, WIN
9, 3, 225, 2020-08-23T09:08:48+00:00, 10, 0, WIN
10, 1, 225, 2020-08-23T09:13:41+00:00, 15, 2, WIN
10, 2, 225, 2020-08-23T09:18:28+00:00, 10, 0, WIN
10, 3, 225, 2020-08-23T09:23:15+00:00, 15, 2, WIN
11, 1, 225, 2020-08-23T09:28:08+00:00, 10, 10, LOSE
11, 2, 225, 2020-08-23T09:32:54+00:00, 10, 0, WIN
11, 3, 225, 2020-08-23T09:37:41+00:00, 11, 1, WIN
