iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
#--> latest commit:72da33fe29a6d2cfb8a484847cf3f2f5bc5da88b
0, 1, 225, 2020-08-03T05:56:35+00:00, 17, 5, WIN
0, 2, 225, 2020-08-03T06:01:23+00:00, 9, 2, WIN
0, 3, 225, 2020-08-03T06:06:11+00:00, 10, 0, WIN
#--> latest commit:c9c51d2cea22f7b5a382ceb91e57c79d4df1e96f
1, 1, 225, 2020-08-03T06:11:04+00:00, 12, 13, LOSE
1, 2, 225, 2020-08-03T06:15:52+00:00, 9, 2, WIN
1, 3, 225, 2020-08-03T06:20:40+00:00, 10, 0, WIN
2, 1, 225, 2020-08-03T06:25:34+00:00, 12, 10, WIN
2, 2, 225, 2020-08-03T06:30:22+00:00, 9, 2, WIN
2, 3, 225, 2020-08-03T06:35:10+00:00, 10, 0, WIN
3, 1, 225, 2020-08-03T06:40:04+00:00, 18, 12, WIN
3, 2, 225, 2020-08-03T06:44:52+00:00, 9, 2, WIN
3, 3, 225, 2020-08-03T06:49:40+00:00, 9, 13, LOSE
