iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
#--> latest commit:6a6a14618ddca37f56618576cc4d43307e9f76f7
0, 1, 225, 2020-08-28T03:42:51+00:00, 13, 2, WIN
0, 2, 225, 2020-08-28T03:47:38+00:00, 14, 2, WIN
0, 3, 225, 2020-08-28T03:52:24+00:00, 11, 1, WIN
0, 4, 225, 2020-08-28T03:57:11+00:00, 7, 0, WIN
0, 5, 225, 2020-08-28T04:01:58+00:00, 17, 6, WIN
0, 6, 225, 2020-08-28T04:06:44+00:00, 13, 3, WIN
1, 1, 225, 2020-08-28T04:11:37+00:00, 12, 10, WIN
1, 2, 225, 2020-08-28T04:16:24+00:00, 12, 1, WIN
1, 3, 225, 2020-08-28T04:21:11+00:00, 12, 1, WIN
1, 4, 225, 2020-08-28T04:25:57+00:00, 7, 0, WIN
1, 5, 225, 2020-08-28T04:30:44+00:00, 9, 6, WIN
1, 6, 225, 2020-08-28T04:35:31+00:00, 14, 4, WIN
2, 1, 225, 2020-08-28T04:40:24+00:00, 13, 2, WIN
2, 2, 225, 2020-08-28T04:45:11+00:00, 14, 2, WIN
2, 3, 225, 2020-08-28T04:49:58+00:00, 10, 0, WIN
2, 4, 225, 2020-08-28T04:54:44+00:00, 8, 0, WIN
2, 5, 225, 2020-08-28T04:59:31+00:00, 15, 3, WIN
2, 6, 225, 2020-08-28T05:04:17+00:00, 14, 4, WIN
3, 1, 225, 2020-08-28T05:09:11+00:00, 13, 2, WIN
3, 2, 225, 2020-08-28T05:13:57+00:00, 16, 2, WIN
3, 3, 225, 2020-08-28T05:18:44+00:00, 12, 1, WIN
3, 4, 225, 2020-08-28T05:23:31+00:00, 8, 0, WIN
3, 5, 225, 2020-08-28T05:28:18+00:00, 14, 3, WIN
3, 6, 225, 2020-08-28T05:33:05+00:00, 15, 12, WIN
4, 1, 225, 2020-08-28T05:37:58+00:00, 13, 2, WIN
4, 2, 225, 2020-08-28T05:42:45+00:00, 13, 2, WIN
4, 3, 225, 2020-08-28T05:47:31+00:00, 10, 0, WIN
4, 4, 225, 2020-08-28T05:52:18+00:00, 7, 0, WIN
4, 5, 225, 2020-08-28T05:57:05+00:00, 16, 6, WIN
4, 6, 225, 2020-08-28T06:01:52+00:00, 14, 4, WIN
5, 1, 225, 2020-08-28T06:06:45+00:00, 7, 2, WIN
5, 2, 225, 2020-08-28T06:11:32+00:00, 12, 2, WIN
5, 3, 225, 2020-08-28T06:16:19+00:00, 10, 0, WIN
5, 4, 225, 2020-08-28T06:21:05+00:00, 8, 0, WIN
5, 5, 225, 2020-08-28T06:25:52+00:00, 11, 12, LOSE
5, 6, 225, 2020-08-28T06:30:39+00:00, 14, 4, WIN
6, 1, 225, 2020-08-28T06:35:32+00:00, 13, 2, WIN
6, 2, 225, 2020-08-28T06:40:18+00:00, 12, 1, WIN
6, 3, 225, 2020-08-28T06:45:05+00:00, 10, 0, WIN
6, 4, 225, 2020-08-28T06:49:52+00:00, 7, 0, WIN
6, 5, 225, 2020-08-28T06:54:39+00:00, 11, 12, LOSE
6, 6, 225, 2020-08-28T06:59:25+00:00, 15, 3, WIN
7, 1, 225, 2020-08-28T07:04:18+00:00, 13, 2, WIN
7, 2, 225, 2020-08-28T07:09:05+00:00, 10, 0, WIN
7, 3, 225, 2020-08-28T07:13:52+00:00, 12, 0, WIN
7, 4, 225, 2020-08-28T07:18:38+00:00, 7, 0, WIN
7, 5, 225, 2020-08-28T07:23:25+00:00, 11, 12, LOSE
7, 6, 225, 2020-08-28T07:28:12+00:00, 15, 3, WIN
8, 1, 225, 2020-08-28T07:33:06+00:00, 9, 10, LOSE
8, 2, 225, 2020-08-28T07:37:53+00:00, 14, 2, WIN
8, 3, 225, 2020-08-28T07:42:40+00:00, 10, 0, WIN
8, 4, 225, 2020-08-28T07:47:26+00:00, 6, 0, WIN
8, 5, 225, 2020-08-28T07:52:13+00:00, 16, 4, WIN
8, 6, 225, 2020-08-28T07:57:00+00:00, 14, 3, WIN
9, 1, 225, 2020-08-28T08:01:53+00:00, 9, 7, WIN
9, 2, 225, 2020-08-28T08:06:40+00:00, 10, 0, WIN
9, 3, 225, 2020-08-28T08:11:26+00:00, 12, 1, WIN
9, 4, 225, 2020-08-28T08:16:13+00:00, 7, 0, WIN
9, 5, 225, 2020-08-28T08:21:00+00:00, 15, 4, WIN
9, 6, 225, 2020-08-28T08:25:46+00:00, 13, 3, WIN
10, 1, 225, 2020-08-28T08:30:40+00:00, 7, 2, WIN
10, 2, 225, 2020-08-28T08:35:26+00:00, 12, 1, WIN
10, 3, 225, 2020-08-28T08:40:13+00:00, 12, 1, WIN
10, 4, 225, 2020-08-28T08:45:00+00:00, 8, 0, WIN
10, 5, 225, 2020-08-28T08:49:47+00:00, 12, 11, WIN
10, 6, 225, 2020-08-28T08:54:33+00:00, 14, 4, WIN
11, 1, 225, 2020-08-28T08:59:27+00:00, 10, 10, LOSE
11, 2, 225, 2020-08-28T09:04:13+00:00, 11, 1, WIN
11, 3, 225, 2020-08-28T09:09:00+00:00, 10, 0, WIN
11, 4, 225, 2020-08-28T09:13:47+00:00, 8, 0, WIN
11, 5, 225, 2020-08-28T09:18:34+00:00, 12, 8, WIN
11, 6, 225, 2020-08-28T09:23:21+00:00, 16, 6, WIN
12, 1, 225, 2020-08-28T09:28:14+00:00, 13, 2, WIN
12, 2, 225, 2020-08-28T09:33:01+00:00, 12, 1, WIN
12, 3, 225, 2020-08-28T09:37:48+00:00, 12, 1, WIN
12, 4, 225, 2020-08-28T09:42:35+00:00, 8, 0, WIN
12, 5, 225, 2020-08-28T09:47:21+00:00, 13, 7, WIN
12, 6, 225, 2020-08-28T09:52:08+00:00, 14, 4, WIN
