iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
#--> latest commit:e960a267a743010d3e56f98ce9dd04c4549dac60
0, 1, 225, 2020-08-27T09:49:03+00:00, 9, 2, WIN
0, 2, 225, 2020-08-27T09:53:50+00:00, 13, 1, WIN
0, 3, 225, 2020-08-27T09:58:37+00:00, 11, 1, WIN
0, 4, 225, 2020-08-27T10:03:24+00:00, 2, 4, LOSE
0, 5, 225, 2020-08-27T10:08:11+00:00, 12, 22, LOSE
1, 1, 225, 2020-08-27T10:13:06+00:00, 12, 2, WIN
1, 2, 225, 2020-08-27T10:17:52+00:00, 9, 7, WIN
1, 3, 225, 2020-08-27T10:22:39+00:00, 10, 0, WIN
1, 4, 225, 2020-08-27T10:27:26+00:00, 2, 6, LOSE
1, 5, 225, 2020-08-27T10:32:13+00:00, 11, 12, LOSE
