iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
#--> latest commit:5589cb458505d96f7f5b18b6792e841cbd290bc7
0, 1, 225, 2020-08-28T18:42:44+00:00, 8, 2, WIN
0, 2, 225, 2020-08-28T18:47:31+00:00, 13, 2, WIN
0, 3, 225, 2020-08-28T18:52:18+00:00, 18, 4, WIN
0, 4, 225, 2020-08-28T18:57:05+00:00, 4, 0, WIN
0, 5, 225, 2020-08-28T19:01:51+00:00, 11, 15, LOSE
0, 6, 225, 2020-08-28T19:06:38+00:00, 14, 4, WIN
0, 7, 225, 2020-08-28T19:11:25+00:00, 14, 3, WIN
0, 8, 225, 2020-08-28T19:16:11+00:00, 5, 3, WIN
1, 1, 225, 2020-08-28T19:21:05+00:00, 8, 13, LOSE
1, 2, 225, 2020-08-28T19:25:52+00:00, 11, 1, WIN
1, 3, 225, 2020-08-28T19:30:39+00:00, 11, 1, WIN
1, 4, 225, 2020-08-28T19:35:26+00:00, 7, 0, WIN
1, 5, 225, 2020-08-28T19:40:12+00:00, 4, 5, LOSE
1, 6, 225, 2020-08-28T19:44:59+00:00, 18, 4, WIN
1, 7, 225, 2020-08-28T19:49:45+00:00, 12, 2, WIN
1, 8, 225, 2020-08-28T19:54:32+00:00, 2, 0, WIN
2, 1, 225, 2020-08-28T19:59:26+00:00, 12, 2, WIN
2, 2, 225, 2020-08-28T20:04:13+00:00, 11, 1, WIN
2, 3, 225, 2020-08-28T20:08:59+00:00, 12, 0, WIN
2, 4, 225, 2020-08-28T20:13:46+00:00, 8, 0, WIN
2, 5, 225, 2020-08-28T20:18:32+00:00, 13, 10, WIN
2, 6, 225, 2020-08-28T20:23:19+00:00, 15, 5, WIN
2, 7, 225, 2020-08-28T20:28:06+00:00, 15, 3, WIN
2, 8, 225, 2020-08-28T20:32:53+00:00, 2, 3, LOSE
3, 1, 225, 2020-08-28T20:37:47+00:00, 7, 2, WIN
3, 2, 225, 2020-08-28T20:42:33+00:00, 5, 1, WIN
3, 3, 225, 2020-08-28T20:47:20+00:00, 12, 1, WIN
3, 4, 225, 2020-08-28T20:52:08+00:00, 7, 0, WIN
3, 5, 225, 2020-08-28T20:56:55+00:00, 17, 6, WIN
3, 6, 225, 2020-08-28T21:01:41+00:00, 15, 5, WIN
3, 7, 225, 2020-08-28T21:06:28+00:00, 16, 4, WIN
3, 8, 225, 2020-08-28T21:11:15+00:00, 5, 1, WIN
4, 1, 225, 2020-08-28T21:16:08+00:00, 13, 2, WIN
4, 2, 225, 2020-08-28T21:20:55+00:00, 11, 1, WIN
4, 3, 225, 2020-08-28T21:25:42+00:00, 15, 4, WIN
4, 4, 225, 2020-08-28T21:30:29+00:00, 7, 0, WIN
4, 5, 225, 2020-08-28T21:35:16+00:00, 17, 5, WIN
4, 6, 225, 2020-08-28T21:40:03+00:00, 15, 4, WIN
4, 7, 225, 2020-08-28T21:44:50+00:00, 12, 2, WIN
4, 8, 225, 2020-08-28T21:49:37+00:00, 5, 2, WIN
5, 1, 225, 2020-08-28T21:54:31+00:00, 11, 10, WIN
5, 2, 225, 2020-08-28T21:59:18+00:00, 15, 2, WIN
5, 3, 225, 2020-08-28T22:04:05+00:00, 12, 0, WIN
5, 4, 225, 2020-08-28T22:08:51+00:00, 8, 0, WIN
5, 5, 225, 2020-08-28T22:13:39+00:00, 14, 4, WIN
5, 6, 225, 2020-08-28T22:18:25+00:00, 14, 3, WIN
5, 7, 225, 2020-08-28T22:23:12+00:00, 13, 3, WIN
5, 8, 225, 2020-08-28T22:27:59+00:00, 13, 7, WIN
6, 1, 225, 2020-08-28T22:32:52+00:00, 10, 10, LOSE
6, 2, 225, 2020-08-28T22:37:39+00:00, 12, 2, WIN
6, 3, 225, 2020-08-28T22:42:25+00:00, 10, 0, WIN
6, 4, 225, 2020-08-28T22:47:12+00:00, 6, 0, WIN
6, 5, 225, 2020-08-28T22:51:59+00:00, 17, 6, WIN
6, 6, 225, 2020-08-28T22:56:46+00:00, 13, 3, WIN
6, 7, 225, 2020-08-28T23:01:32+00:00, 14, 4, WIN
6, 8, 225, 2020-08-28T23:06:20+00:00, 5, 3, WIN
7, 1, 225, 2020-08-28T23:11:13+00:00, 13, 2, WIN
7, 2, 225, 2020-08-28T23:15:59+00:00, 11, 1, WIN
7, 3, 225, 2020-08-28T23:20:46+00:00, 10, 0, WIN
7, 4, 225, 2020-08-28T23:25:32+00:00, 5, 0, WIN
7, 5, 225, 2020-08-28T23:30:19+00:00, 15, 2, WIN
7, 6, 225, 2020-08-28T23:35:06+00:00, 13, 3, WIN
7, 7, 225, 2020-08-28T23:39:53+00:00, 8, 7, WIN
7, 8, 225, 2020-08-28T23:44:41+00:00, 4, 4, LOSE
8, 1, 225, 2020-08-28T23:49:34+00:00, 13, 2, WIN
8, 2, 225, 2020-08-28T23:54:21+00:00, 12, 1, WIN
8, 3, 225, 2020-08-28T23:59:07+00:00, 10, 0, WIN
8, 4, 225, 2020-08-29T00:03:54+00:00, 8, 0, WIN
8, 5, 225, 2020-08-29T00:08:41+00:00, 7, 8, LOSE
8, 6, 225, 2020-08-29T00:13:27+00:00, 14, 4, WIN
8, 7, 225, 2020-08-29T00:18:14+00:00, 14, 3, WIN
8, 8, 225, 2020-08-29T00:23:01+00:00, 6, 1, WIN
9, 1, 225, 2020-08-29T00:27:54+00:00, 14, 2, WIN
9, 2, 225, 2020-08-29T00:32:41+00:00, 11, 0, WIN
9, 3, 225, 2020-08-29T00:37:28+00:00, 12, 1, WIN
9, 4, 225, 2020-08-29T00:42:15+00:00, 7, 0, WIN
9, 5, 225, 2020-08-29T00:47:01+00:00, 11, 12, LOSE
9, 6, 225, 2020-08-29T00:51:48+00:00, 15, 4, WIN
9, 7, 225, 2020-08-29T00:56:35+00:00, 13, 2, WIN
9, 8, 225, 2020-08-29T01:01:23+00:00, 9, 4, WIN
10, 1, 225, 2020-08-29T01:06:16+00:00, 12, 2, WIN
10, 2, 225, 2020-08-29T01:11:03+00:00, 12, 1, WIN
10, 3, 225, 2020-08-29T01:15:49+00:00, 12, 1, WIN
10, 4, 225, 2020-08-29T01:20:36+00:00, 8, 0, WIN
10, 5, 225, 2020-08-29T01:25:22+00:00, 13, 7, WIN
10, 6, 225, 2020-08-29T01:30:09+00:00, 16, 6, WIN
10, 7, 225, 2020-08-29T01:34:56+00:00, 10, 5, WIN
10, 8, 225, 2020-08-29T01:39:42+00:00, 2, 2, LOSE
