iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
#--> latest commit:0e102ac2325955f231108c1eae01617f274fcdee
0, 1, 225, 2020-08-28T13:46:23+00:00, 13, 2, WIN
0, 2, 225, 2020-08-28T13:51:10+00:00, 11, 1, WIN
0, 3, 225, 2020-08-28T13:55:57+00:00, 12, 0, WIN
0, 4, 225, 2020-08-28T14:00:43+00:00, 7, 0, WIN
0, 5, 225, 2020-08-28T14:05:31+00:00, 15, 5, WIN
0, 6, 225, 2020-08-28T14:10:18+00:00, 13, 6, WIN
0, 7, 225, 2020-08-28T14:15:04+00:00, 14, 4, WIN
1, 1, 225, 2020-08-28T14:19:58+00:00, 12, 2, WIN
1, 2, 225, 2020-08-28T14:24:44+00:00, 14, 2, WIN
1, 3, 225, 2020-08-28T14:29:31+00:00, 10, 0, WIN
1, 4, 225, 2020-08-28T14:34:17+00:00, 8, 0, WIN
1, 5, 225, 2020-08-28T14:39:04+00:00, 8, 7, WIN
1, 6, 225, 2020-08-28T14:43:51+00:00, 14, 3, WIN
1, 7, 225, 2020-08-28T14:48:37+00:00, 9, 6, WIN
2, 1, 225, 2020-08-28T14:53:31+00:00, 11, 13, LOSE
2, 2, 225, 2020-08-28T14:58:17+00:00, 12, 1, WIN
2, 3, 225, 2020-08-28T15:03:04+00:00, 10, 0, WIN
2, 4, 225, 2020-08-28T15:07:50+00:00, 8, 0, WIN
2, 5, 225, 2020-08-28T15:12:38+00:00, 17, 6, WIN
2, 6, 225, 2020-08-28T15:17:24+00:00, 13, 3, WIN
2, 7, 225, 2020-08-28T15:22:11+00:00, 17, 3, WIN
3, 1, 225, 2020-08-28T15:27:05+00:00, 10, 13, LOSE
3, 2, 225, 2020-08-28T15:31:52+00:00, 13, 2, WIN
3, 3, 225, 2020-08-28T15:36:39+00:00, 10, 0, WIN
3, 4, 225, 2020-08-28T15:41:26+00:00, 8, 0, WIN
3, 5, 225, 2020-08-28T15:46:14+00:00, 8, 12, LOSE
3, 6, 225, 2020-08-28T15:51:01+00:00, 13, 3, WIN
3, 7, 225, 2020-08-28T15:55:48+00:00, 15, 3, WIN
4, 1, 225, 2020-08-28T16:00:41+00:00, 12, 2, WIN
4, 2, 225, 2020-08-28T16:05:27+00:00, 12, 1, WIN
4, 3, 225, 2020-08-28T16:10:15+00:00, 18, 4, WIN
4, 4, 225, 2020-08-28T16:15:01+00:00, 8, 0, WIN
4, 5, 225, 2020-08-28T16:19:48+00:00, 7, 5, WIN
4, 6, 225, 2020-08-28T16:24:35+00:00, 15, 4, WIN
4, 7, 225, 2020-08-28T16:29:22+00:00, 10, 5, WIN
